id,familia,acierto,estado,coste_usd,latencia_s,llamadas,cita,cifra,trayectoria,recall_trayectoria,coste_juez_usd,error,traceback
propio-001,numerica,True,evaluado,0.0032752500000000004,14.59473429992795,1.0,,True,True,,,,
propio-002,numerica,True,evaluado,0.004032,10.637250700034201,2.0,,True,True,,,,
propio-003,numerica,True,evaluado,0.0037679999999999996,9.7011045999825,1.0,,True,True,,,,
propio-004,numerica,True,evaluado,0.00410025,11.147997799795121,2.0,,True,True,,,,
propio-005,numerica,False,error,,11.79184570000507,1.0,,,,,,"PaymentRequiredResponseError: This request would exceed your available credits given your current in-flight requests. Retry after in-flight requests settle, or add credits.","Traceback (most recent call last):
  File ""C:\Users\Natalia\workplace\Taller-B5-T5-NPL\agente\interfaz.py"", line 772, in evaluar
    r = funcion_responder(item[""pregunta""]) if funcion_responder else ejecutar(item[""pregunta""], etiqueta)
                                                                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Natalia\workplace\Taller-B5-T5-NPL\agente\interfaz.py"", line 535, in ejecutar
    resultado = agente.invoke(
                ^^^^^^^^^^^^^^
  File ""C:\Users\Natalia\workplace\Taller-B5-T5-NPL\.venv\Lib\site-packages\langgraph\pregel\main.py"", line 3913, in invoke
    for chunk in self.stream(
  File ""C:\Users\Natalia\workplace\Taller-B5-T5-NPL\.venv\Lib\site-packages\langgraph\pregel\main.py"", line 2967, in stream
    for _ in runner.tick(
  File ""C:\Users\Natalia\workplace\Taller-B5-T5-NPL\.venv\Lib\site-packages\langgraph\pregel\_runner.py"", line 207, in tick
    run_with_retry(
  File ""C:\Users\Natalia\workplace\Taller-B5-T5-NPL\.venv\Lib\site-packages\langgraph\pregel\_retry.py"", line 617, in run_with_retry
    return task.proc.invoke(task.input, config)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Natalia\workplace\Taller-B5-T5-NPL\.venv\Lib\site-packages\langgraph\_internal\_runnable.py"", line 707, in invoke
    input = context.run(step.invoke, input, config, **kwargs)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Natalia\workplace\Taller-B5-T5-NPL\.venv\Lib\site-packages\langgraph\_internal\_runnable.py"", line 447, in invoke
    ret = self.func(*args, **kwargs)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Natalia\workplace\Taller-B5-T5-NPL\.venv\Lib\site-packages\langchain\agents\factory.py"", line 1483, in model_node
    model_response = _execute_model_sync(request)
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Natalia\workplace\Taller-B5-T5-NPL\.venv\Lib\site-packages\langchain\agents\factory.py"", line 1454, in _execute_model_sync
    output = model_.invoke(messages)
             ^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Natalia\workplace\Taller-B5-T5-NPL\.venv\Lib\site-packages\langchain_core\runnables\base.py"", line 6014, in invoke
    return self.bound.invoke(
           ^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Natalia\workplace\Taller-B5-T5-NPL\.venv\Lib\site-packages\langchain_core\language_models\chat_models.py"", line 488, in invoke
    self.generate_prompt(
  File ""C:\Users\Natalia\workplace\Taller-B5-T5-NPL\.venv\Lib\site-packages\langchain_core\language_models\chat_models.py"", line 1877, in generate_prompt
    return self.generate(prompt_messages, stop=stop, callbacks=callbacks, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Natalia\workplace\Taller-B5-T5-NPL\.venv\Lib\site-packages\langchain_core\language_models\chat_models.py"", line 1684, in generate
    self._generate_with_cache(
  File ""C:\Users\Natalia\workplace\Taller-B5-T5-NPL\.venv\Lib\site-packages\langchain_core\language_models\chat_models.py"", line 2022, in _generate_with_cache
    result = self._generate(
             ^^^^^^^^^^^^^^^
  File ""C:\Users\Natalia\workplace\Taller-B5-T5-NPL\.venv\Lib\site-packages\langchain_openrouter\chat_models.py"", line 572, in _generate
    response = self.client.chat.send(messages=message_dicts, **params)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Natalia\workplace\Taller-B5-T5-NPL\.venv\Lib\site-packages\openrouter\chat.py"", line 882, in send
    raise errors.PaymentRequiredResponseError(
openrouter.errors.paymentrequiredresponse_error.PaymentRequiredResponseError: This request would exceed your available credits given your current in-flight requests. Retry after in-flight requests settle, or add credits.
During task with name 'model' and id '1ea86ffa-a1e0-bd5a-16a7-eec4ed938d22'
"
propio-006,numerica,False,no_intentado,,,,,,,,,,
propio-007,numerica,False,no_intentado,,,,,,,,,,
propio-008,extractiva,False,no_intentado,,,,,,,,,,
propio-009,extractiva,False,no_intentado,,,,,,,,,,
propio-010,extractiva,False,no_intentado,,,,,,,,,,
propio-011,extractiva,False,no_intentado,,,,,,,,,,
propio-012,extractiva,False,no_intentado,,,,,,,,,,
propio-013,extractiva,False,no_intentado,,,,,,,,,,
propio-014,extractiva,False,no_intentado,,,,,,,,,,
propio-015,comparativa,False,no_intentado,,,,,,,,,,
propio-016,comparativa,False,no_intentado,,,,,,,,,,
propio-017,comparativa,False,no_intentado,,,,,,,,,,
propio-018,comparativa,False,no_intentado,,,,,,,,,,
propio-019,comparativa,False,no_intentado,,,,,,,,,,
propio-020,comparativa,False,no_intentado,,,,,,,,,,
