id,familia,acierto,estado,coste_usd,latencia_s,llamadas,cita,cifra,trayectoria,cita_ancla,recall_trayectoria,coste_juez_usd,coste_estimado_usd,avisos_guardrail,error,traceback,detalle_api
propio-001,numerica,True,evaluado,0.0066472499999999995,20.61768749996554,2,,True,True,,,,0.0066472499999999995,0,,,
propio-002,numerica,True,evaluado,0.003945000000000001,8.667555799998809,2,,True,True,,,,0.003945000000000001,0,,,
propio-003,numerica,True,evaluado,0.007746,24.901590799971018,3,,True,True,,,,0.007746,0,,,
propio-004,numerica,True,evaluado,0.00466725,18.371017800003756,2,,True,True,,,,0.00466725,0,,,
propio-005,numerica,True,evaluado,0.00847125,14.983931199996732,3,,True,True,,,,0.00847125,0,,,
propio-006,numerica,True,evaluado,0.004251,9.805024100001901,2,,True,True,,,,0.004251,0,,,
propio-007,numerica,True,evaluado,0.011103,21.29532020003535,3,,True,True,,,,0.011103,0,,,
propio-008,extractiva,False,evaluado,0.04734494999999999,51.04745449998882,10,False,,True,False,0.0,0.0003207,0.04734494999999999,0,,,
propio-009,extractiva,True,evaluado,0.018688200000000002,26.661319500009995,3,True,,True,False,0.0,0.0003144,0.018688200000000002,0,,,
propio-010,extractiva,False,evaluado,0.009441,17.293638599978294,2,False,,True,False,0.0,,0.009441,0,,,
propio-011,extractiva,False,evaluado,0.016689,23.647925099998247,3,False,,True,True,1.0,0.0003627,0.016689,0,,,
propio-012,extractiva,False,evaluado,0.0078255,14.299991399981081,1,False,,True,True,1.0,0.000273,0.0078255,0,,,
